Time;Open;High;Low;Close;TickVolume;RealVolume;Spread;AskClose
2026.01.16 21:00:00;0.866560;0.866580;0.866270;0.866480;1629;0;14;0.866620
2026.01.16 22:00:00;0.866480;0.866870;0.866430;0.866790;1352;0;14;0.866930
2026.01.16 23:00:00;0.866790;0.867170;0.866460;0.866500;1563;0;14;0.866640
2026.01.19 00:00:00;0.866750;0.867630;0.866650;0.867070;773;0;21;0.867280
2026.01.19 01:00:00;0.867020;0.867610;0.866740;0.867280;4811;0;12;0.867400
2026.01.19 02:00:00;0.867280;0.867940;0.866990;0.867940;5324;0;12;0.868060
2026.01.19 03:00:00;0.867920;0.868200;0.867580;0.867790;3548;0;12;0.867910
2026.01.19 04:00:00;0.867790;0.868030;0.867730;0.867740;3306;0;13;0.867870
2026.01.19 05:00:00;0.867750;0.868200;0.867630;0.868180;2895;0;14;0.868320
2026.01.19 06:00:00;0.868180;0.868470;0.868110;0.868370;2415;0;13;0.868500
2026.01.19 07:00:00;0.868370;0.868390;0.867930;0.867950;2667;0;14;0.868090
2026.01.19 08:00:00;0.867950;0.868030;0.867650;0.867750;2354;0;12;0.867870
2026.01.19 09:00:00;0.867750;0.868530;0.867700;0.868240;2990;0;13;0.868370
2026.01.19 10:00:00;0.868240;0.868370;0.866800;0.866860;2637;0;12;0.866980
2026.01.19 11:00:00;0.866860;0.867430;0.866620;0.866990;2803;0;13;0.867120
2026.01.19 12:00:00;0.867000;0.867150;0.866570;0.866730;2029;0;12;0.866850
2026.01.19 13:00:00;0.866730;0.867180;0.866710;0.867110;1691;0;13;0.867240
2026.01.19 14:00:00;0.867110;0.867310;0.866980;0.867130;1732;0;13;0.867260
2026.01.19 15:00:00;0.867110;0.867290;0.866950;0.867060;1845;0;14;0.867200
2026.01.19 16:00:00;0.867060;0.867420;0.867020;0.867230;1875;0;14;0.867370
2026.01.19 17:00:00;0.867250;0.867300;0.866530;0.867160;2607;0;12;0.867280
2026.01.19 18:00:00;0.867150;0.867160;0.866750;0.866920;1851;0;13;0.867050
2026.01.19 19:00:00;0.866920;0.867080;0.866720;0.866980;1119;0;15;0.867130
2026.01.19 20:00:00;0.866980;0.867170;0.866970;0.867100;839;0;14;0.867240
2026.01.19 21:00:00;0.867100;0.867260;0.867060;0.867120;439;0;13;0.867250
2026.01.19 22:00:00;0.867120;0.867180;0.867050;0.867130;496;0;14;0.867270
2026.01.19 23:00:00;0.867130;0.867350;0.867040;0.867070;672;0;14;0.867210
2026.01.20 00:00:00;0.867260;0.867410;0.866880;0.867070;699;0;20;0.867270
2026.01.20 01:00:00;0.867070;0.867470;0.867070;0.867280;1225;0;14;0.867420
2026.01.20 02:00:00;0.867290;0.867440;0.867160;0.867390;2095;0;14;0.867530
2026.01.20 03:00:00;0.867400;0.867510;0.867230;0.867330;2793;0;14;0.867470
2026.01.20 04:00:00;0.867320;0.867390;0.867150;0.867370;1624;0;13;0.867500
2026.01.20 05:00:00;0.867370;0.867610;0.867240;0.867530;1961;0;13;0.867660
2026.01.20 06:00:00;0.867530;0.867870;0.867350;0.867840;1844;0;13;0.867970
2026.01.20 07:00:00;0.867830;0.867870;0.867550;0.867600;1800;0;14;0.867740
2026.01.20 08:00:00;0.867600;0.868520;0.867550;0.868430;2424;0;12;0.868550
2026.01.20 09:00:00;0.868430;0.868790;0.867090;0.867380;3855;0;12;0.867500
2026.01.20 10:00:00;0.867370;0.869260;0.866920;0.869170;5126;0;12;0.869290
2026.01.20 11:00:00;0.869170;0.870280;0.869080;0.870120;4061;0;12;0.870240
2026.01.20 12:00:00;0.870130;0.870420;0.869350;0.870180;3743;0;12;0.870300
2026.01.20 13:00:00;0.870170;0.871630;0.870060;0.871550;3317;0;12;0.871670
2026.01.20 14:00:00;0.871550;0.872860;0.871490;0.872000;3336;0;12;0.872120
2026.01.20 15:00:00;0.872010;0.873090;0.871440;0.872130;5974;0;12;0.872250
2026.01.20 16:00:00;0.872130;0.872370;0.870660;0.870710;5644;0;12;0.870830
2026.01.20 17:00:00;0.870710;0.871490;0.870500;0.871370;4350;0;12;0.871490
2026.01.20 18:00:00;0.871370;0.871980;0.871250;0.871430;4017;0;12;0.871550
2026.01.20 19:00:00;0.871430;0.871810;0.871200;0.871720;2877;0;12;0.871840
2026.01.20 20:00:00;0.871720;0.872360;0.871630;0.872230;1777;0;13;0.872360
2026.01.20 21:00:00;0.872230;0.872370;0.872090;0.872160;2241;0;12;0.872280
2026.01.20 22:00:00;0.872160;0.872440;0.872070;0.872300;2027;0;13;0.872430
2026.01.20 23:00:00;0.872300;0.872450;0.871790;0.871820;1986;0;13;0.871950
